alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id,w7_setup_boost,w7_market_mult,w7_applied_layers
aa8d6fdeb9,2026-07-14T03:41:43.034490+00:00,GC,4h,BB_REVERSION_BULL,LONG,4021.4,3988.8367,4111.5,2.77,swing_level_sweet,-10,81,HIGH,,swing (1-3 days),36.99,34.2112,26.93,MIXED,3,0.93,0,CLOSED,WIN,0,4111.5,81,True,2026-07-14,0,0,
ff1dcf387c,2026-07-14T14:05:21.707553+00:00,NQ,15m,OPENING_RANGE_BREAKOUT,SHORT,29665.5,29831.7479,29325.75,2.04,swing_level_sweet,-2,82,HIGH,,scalp (15-90 min) - flat by 4PM ET,50.27,79.9893,29.78,LH_LL,14,1.67,0,CLOSED,LOSS,0,29831.7479,82,,2026-07-14,0,0,
7547ef03b2,2026-07-14T15:10:35.491038+00:00,BTC,15m,STOCH_REVERSAL_BEAR,SHORT,64222.01,64500.8209,63654.01,2.04,swing_level_sweet,-9,53,MEDIUM,3,scalp (1-6 hours),79.36,232.3424,45.77,MIXED,15,1.83,0,CLOSED,LOSS,0,64500.8209,53,,2026-07-14,0,0,
254031ffc4,2026-07-14T15:28:46.982998+00:00,GC,1h,STOCH_REVERSAL_BEAR,SHORT,4092.1,4106.2292,4063.4,2.03,swing_level_sweet,-8,58,MEDIUM,,intraday (1-4 hours) - flat by 4PM ET,70.98,19.573,40.52,MIXED,15,1.33,0,CLOSED,WIN,0,4063.4,58,True,2026-07-14,0,0,
4177278b9f,2026-07-14T16:55:52.375627+00:00,BTC,15m,STOCH_REVERSAL_BEAR,SHORT,64740.46,65029.1439,64000.01,2.56,swing_level_sweet,-7,53,MEDIUM,3,scalp (1-6 hours),79.89,240.5699,57.59,MIXED,16,1.06,0,OPEN,,,,53,True,2026-07-14,0,0,
9fed76bc10,2026-07-14T18:55:47.681993+00:00,NQ,1h,BREAK_RETEST_BULL,LONG,29824.5,29757.8334,29993.5,2.54,swing_level_sweet,0,67,HIGH,,intraday (1-4 hours) - flat by 4PM ET,64.23,127.2916,20.77,MIXED,18,1.09,0,CLOSED,WIN,0,29832.25,67,,2026-07-14,0,0,
