alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id,w7_setup_boost,w7_market_mult,w7_applied_layers
b3db6a6de2,2026-09-07T23:44:50.236524+00:00,GC,4h,VWAP_BOUNCE_BULL,LONG,4473.5,4441.9085,4558.5,2.69,swing_level_sweet,10,58,MEDIUM,,intraday (hours) - flat by 4PM ET,49.91,34.9577,22.84,MIXED,23,0.16,0,CLOSED,LOSS,0,4441.9085,58,,2026-09-08,0,0,
8a4607acf9,2026-09-08T13:03:17.552197+00:00,BTC,1h,STOCH_REVERSAL_BULL,LONG,78470.59,78065.2888,79394.55,2.28,swing_level_sweet,8,59,MEDIUM,3,intraday (hours-1 day),39.84,310.878,32.68,MIXED,13,0.23,0,CLOSED,LOSS,0,78065.2888,59,,2026-09-08,0,0,
5378707390,2026-09-08T13:57:05.813369+00:00,BTC,15m,STOCH_REVERSAL_BULL,LONG,77977.04,77558.8833,78971.16,2.38,swing_level_sweet,8,58,MEDIUM,3,scalp (1-6 hours),37.43,226.1916,29.27,MIXED,13,4.11,0,CLOSED,WIN,0,78971.16,59,True,2026-09-08,0,0,
7525919963,2026-09-08T15:15:37.412755+00:00,NQ,1h,VWAP_BOUNCE_BULL,LONG,29599.5,29406.6918,30001.75,2.09,swing_level_sweet,10,56,MEDIUM,,intraday (1-4 hours) - flat by 4PM ET,50.38,90.2912,12.78,MIXED,15,0.9,0,CLOSED,LOSS,0,29515.25,56,,2026-09-08,0,0,
fdfb8a5ead,2026-09-08T15:15:38.510989+00:00,GC,4h,VWAP_BOUNCE_BULL,LONG,4452.2,4422.7937,4509.1,1.93,swing_level,10,57,MEDIUM,,intraday (hours) - flat by 4PM ET,46.1,33.5315,20.03,MIXED,15,0.57,0,CLOSED,LOSS,0,4422.7937,57,,2026-09-08,0,0,
