alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id,w7_setup_boost,w7_market_mult,w7_applied_layers
7304ce7339,2026-05-16T09:41:40.772454+00:00,BTC,15m,BB_REVERSION_BULL,LONG,78117.95,77800.1505,79017.76,2.83,swing_level_sweet,6,89,HIGH,4,swing (1-3 days),30.02,176.3651,59.19,HH_HL,9,0.47,0,CLOSED,LOSS,0,77800.1505,57,,2026-05-18,6,0,L1:BB_REVERSION_BULL+6
472be643ab,2026-05-16T10:36:44.192603+00:00,BTC,15m,BB_REVERSION_BULL,LONG,77910.42,77549.2606,79017.76,3.07,swing_level,6,89,HIGH,3,swing (1-3 days),30.97,198.9646,64.0,HH_HL,10,0.36,0,CLOSED,LOSS,0,77549.2606,57,,2026-05-18,6,0,L1:BB_REVERSION_BULL+6
64003147ea,2026-05-16T13:46:09.001892+00:00,NQ,1h,RSI_DIV_BULL,LONG,29173.0,29054.9288,29447.0,2.32,swing_level_sweet,6,74,MEDIUM,,intraday (hours),39.07,140.1779,31.25,MIXED,13,0.84,0,CLOSED,LOSS,0,29173.0,11,,2026-05-18,0,0,
9979f3e134,2026-05-17T14:26:36.887341+00:00,SOL,15m,STOCH_REVERSAL_BULL,LONG,86.34,86.142,86.87,2.68,swing_level_sweet,-1,72,MEDIUM,5,intraday (hours),34.87,0.22,23.8,HH_HL,14,2.19,0,CLOSED,LOSS,0,86.142,21,,2026-05-18,3,0,L1:STOCH_REVERSAL_BULL+3
85923e4d5a,2026-05-17T23:58:35.910272+00:00,BTC,15m,BB_REVERSION_BULL,LONG,77459.35,76596.1938,79533.91,2.4,swing_level_sweet,6,79,MEDIUM,1,intraday (hours),32.8,257.8208,29.92,HH_HL,23,4.7,0,CLOSED,LOSS,0,76596.1938,16,,2026-05-18,0,0,L1:BB_REVERSION_BULL+0
2198da8364,2026-05-18T05:37:06.771784+00:00,SOL,15m,VWAP_REJECT_BEAR,SHORT,84.91,85.3544,83.41,3.38,swing_level,-5,70,MEDIUM,3,intraday (hours),44.02,0.3719,39.89,LH_LL,5,2.88,0,CLOSED,LOSS,0,85.3544,60,,2026-05-18,-15,-10,"L1:VWAP_REJECT_BEAR-15,L2:SOL-BEAR-10"
0f3f845385,2026-05-18T11:51:14.643506+00:00,BTC,15m,BB_REVERSION_BEAR,SHORT,77194.02,77412.2861,76723.57,2.16,swing_level_sweet,-2,67,MEDIUM,5,intraday (hours),59.84,186.187,36.87,LH_LL,11,0.6,0,CLOSED,LOSS,0,77412.2861,49,,2026-05-18,0,-5,L2:BTC-BEAR-5
965694739c,2026-05-18T12:51:50.207572+00:00,BTC,15m,BB_REVERSION_BEAR,SHORT,77573.37,77757.7654,76723.57,4.61,swing_level,-1,60,LOW,3,scalp (minutes-hours),65.58,210.8513,37.29,LH_LL,12,1.46,0,CLOSED,WIN,0,76723.57,39,,2026-05-18,0,-5,L2:BTC-BEAR-5
5a83ef9255,2026-05-18T13:06:38.300968+00:00,SOL,15m,BB_REVERSION_BEAR,SHORT,85.25,85.8599,84.03,2.0,swing_level_sweet,-5,80,HIGH,2,swing (1-3 days),56.38,0.3665,38.21,LH_LL,13,0.88,0,CLOSED,WIN,0,84.03,65,,2026-05-18,0,-10,L2:SOL-BEAR-10
7a78635f27,2026-05-18T13:46:15.923515+00:00,GC,1h,STOCH_REVERSAL_BEAR,SHORT,4569.8,4589.0092,4522.2,2.48,swing_level_sweet,-9,95,HIGH,,swing (1-3 days),53.14,24.0231,36.05,LH_LL,13,1.54,0,CLOSED,WIN,0,4565.5,55,,2026-05-18,-5,0,L1:STOCH_REVERSAL_BEAR-5
0cd61be6da,2026-05-18T14:18:47.723054+00:00,SOL,15m,BREAK_RETEST_BEAR,SHORT,83.98,84.193,83.41,2.68,swing_level_sweet,-5,70,MEDIUM,5,intraday (hours),37.65,0.4076,33.38,LH_LL,14,0.77,0,CLOSED,LOSS,0,84.193,60,,2026-05-18,0,-10,L2:SOL-BEAR-10
c318443a01,2026-05-18T15:36:21.482032+00:00,SOL,15m,BREAK_RETEST_BEAR,SHORT,84.03,84.1952,83.41,3.75,swing_level,-5,72,MEDIUM,5,intraday (hours),41.38,0.4129,35.62,LH_LL,15,1.16,0,CLOSED,LOSS,0,84.1952,70,,2026-05-18,0,-10,L2:SOL-BEAR-10
7918a1a225,2026-05-18T16:52:33.566054+00:00,BTC,15m,BREAK_RETEST_BEAR,SHORT,76355.13,76491.7216,75992.0,2.66,swing_level_sweet,-5,70,MEDIUM,8,intraday (hours),42.22,286.8039,31.63,LH_LL,16,1.08,0,CLOSED,LOSS,0,76491.7216,62,,2026-05-18,0,-5,L2:BTC-BEAR-5
f13a80be99,2026-05-18T17:51:19.056265+00:00,BTC,1h,BREAK_RETEST_BEAR,SHORT,76675.3,76712.6278,76537.76,3.68,swing_level,-5,63,LOW,3,scalp (minutes-hours),41.25,437.1694,32.16,LH_LL,17,0.83,0,CLOSED,WIN,0,76537.76,50,,2026-05-18,0,-5,L2:BTC-BEAR-5
