alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id,w7_setup_boost,w7_market_mult,w7_applied_layers,call_id,fired_at,symbol,session,r_planned,channel,outcome,r_result,r_actual,points_result,mfe_r,mae_r,duration_sec,resolved_at,lane,lab_gate
0fe8352adb,2026-09-24T20:05:34.186912+00:00,BTC,1h,STOCH_REVERSAL_BEAR,SHORT,84351.12,85085.0633,82708.96,2.24,swing_level_sweet,10,22,REJECT,,,50.66,611.6194,25.55,MIXED,20,0.17,1,CLOSED,LOSS,15,85085.0633,22,,2026-09-25,,,,#BTC-0924-KA,2026-09-24T20:05:34.186912+00:00,BTC/USD,Settle,2.24,lab (not sent),LOSS,-1.0,-1.0,-733.9433,0.86,1.078,54332,2026-09-25T11:11:06.376760+00:00,lab,rr_too_low
74c2cbc647,2026-09-24T20:46:07.008096+00:00,BTC,1h,STOCH_REVERSAL_BEAR,SHORT,84389.66,85137.5301,82708.96,2.25,swing_level_sweet,8,22,REJECT,,,51.15,623.2251,25.22,MIXED,20,0.68,0,CLOSED,LOSS,14,85137.5301,22,,2026-09-25,,,,#BTC-0924-UV,2026-09-24T20:46:07.008096+00:00,BTC/USD,Settle,2.25,lab (not sent),LOSS,-1.0,-1.0,-747.8701,0.895,1.007,51899,2026-09-25T11:11:06.458398+00:00,lab,rr_too_low
3ccceb7ac3,2026-09-24T22:00:23.943395+00:00,GC,4h,VWAP_BOUNCE_BULL,LONG,4310.1,4272.9588,4363.7,1.44,swing_level,-10,56,MEDIUM,,,39.36,32.7059,25.26,MIXED,22,0.55,0,CLOSED,WIN,5,4327.0,56,,2026-09-25,,,,#GC-0924-79,2026-09-24T22:00:23.943395+00:00,CON.F.US.GCE.Z26,Asia,1.44,lab (not sent),WIN,0.455,0.455,16.9,1.117,0.563,78888,2026-09-25T19:55:11.976668+00:00,lab,rr_too_low
9255df8ea7,2026-09-24T22:00:23.951092+00:00,GC,4h,BB_REVERSION_BULL,LONG,4310.1,4269.6882,4363.7,1.33,swing_level,-10,72,HIGH,,,39.36,32.7059,25.26,MIXED,22,0.55,0,CLOSED,WIN,5,4327.0,72,,2026-09-25,,,,#GC-0924-FE,2026-09-24T22:00:23.951092+00:00,CON.F.US.GCE.Z26,Asia,1.33,lab (not sent),WIN,0.418,0.418,16.9,1.027,0.517,78888,2026-09-25T19:55:12.095175+00:00,lab,rr_too_low
646e3459bc,2026-09-24T23:20:15.285770+00:00,GC,4h,VWAP_BOUNCE_BULL,LONG,4309.4,4285.0875,4363.7,2.23,swing_level_sweet,-10,56,MEDIUM,,,39.2,31.0627,26.17,MIXED,23,0.2,0,CLOSED,WIN,5,4327.0,56,,2026-09-25,,,,#GC-0924-5C,2026-09-24T23:20:15.285770+00:00,CON.F.US.GCE.Z26,Asia,2.23,lab (not sent),WIN,0.724,0.724,17.6,1.736,0.831,74096,2026-09-25T19:55:12.228894+00:00,lab,conviction
6c037651dc,2026-09-24T23:50:17.710589+00:00,GC,4h,VWAP_BOUNCE_BULL,LONG,4309.4,4285.0875,4363.7,2.23,swing_level_sweet,-10,56,MEDIUM,,,39.2,31.0627,26.17,MIXED,23,0.2,0,CLOSED,WIN,5,4327.0,56,,2026-09-25,,,,#GC-0924-GD,2026-09-24T23:50:17.710589+00:00,CON.F.US.GCE.Z26,Asia,2.23,lab (not sent),WIN,0.724,0.724,17.6,1.736,0.831,72294,2026-09-25T19:55:12.344580+00:00,lab,conviction
9b5fd63977,2026-09-25T00:00:23.290312+00:00,BTC,1h,VWAP_BOUNCE_BULL,LONG,84393.72,83722.2491,86384.73,2.97,swing_level_sweet,10,19,REJECT,,,51.36,559.559,21.5,MIXED,0,0.34,0,CLOSED,LOSS,7,83722.2491,19,,2026-09-25,,,,#BTC-0924-TP,2026-09-25T00:00:23.290312+00:00,BTC/USD,Asia,2.97,lab (not sent),LOSS,-1.0,-1.0,-671.4709,0.727,1.003,25861,2026-09-25T07:11:24.834549+00:00,lab,conviction
474f2d3a9b,2026-09-25T00:28:35.464810+00:00,NQ,15m,VWAP_BOUNCE_BULL,LONG,30715.5,30675.4657,30813.0,2.44,swing_level_sweet,-1,55,MEDIUM,,scalp (15-90 min) - flat by 4PM ET,53.14,45.1713,15.92,MIXED,0,0.37,0,CLOSED,WIN,7,30813.0,55,True,2026-09-25,0,0,,#NQ-0924-C4,2026-09-25T00:28:35.464810+00:00,CON.F.US.ENQ.Z26,Asia,2.44,control,WIN,2.44,2.435,97.5,2.473,0.887,7102,2026-09-25T02:26:58.384955+00:00,real,
495c51f72b,2026-09-25T00:39:46.859626+00:00,BTC,1h,VWAP_BOUNCE_BULL,LONG,84641.99,83989.8494,86384.73,2.67,swing_level_sweet,10,19,REJECT,,,54.91,543.4505,20.89,MIXED,0,0.42,0,CLOSED,LOSS,5,83989.8494,19,,2026-09-25,,,,#BTC-0924-9J,2026-09-25T00:39:46.859626+00:00,BTC/USD,Asia,2.67,lab (not sent),LOSS,-1.0,-1.0,-652.1406,0.368,1.061,20146,2026-09-25T06:15:33.478367+00:00,lab,conviction
1f1817a337,2026-09-25T01:13:49.672626+00:00,GC,1h,VWAP_BOUNCE_BULL,LONG,4322.0,4295.991,4381.9,2.3,swing_level_sweet,-10,56,MEDIUM,,,54.23,16.545,20.95,MIXED,1,0.21,0,CLOSED,LOSS,3,4295.991,56,,2026-09-25,,,,#GC-0924-BZ,2026-09-25T01:13:49.672626+00:00,CON.F.US.GCE.Z26,Asia,2.3,lab (not sent),LOSS,-1.0,-1.0,-26.009,0.346,1.046,13652,2026-09-25T05:01:22.020568+00:00,lab,conviction
ae391d05c6,2026-09-25T01:13:49.759900+00:00,BTC,1h,VWAP_BOUNCE_BULL,LONG,84713.02,84086.106,86384.73,2.67,swing_level_sweet,10,19,REJECT,,,55.97,522.4284,20.5,MIXED,1,0.33,0,CLOSED,LOSS,2,84086.106,19,,2026-09-25,,,,#BTC-0924-JQ,2026-09-25T01:13:49.759900+00:00,BTC/USD,Asia,2.67,lab (not sent),LOSS,-1.0,-1.0,-626.914,0.27,1.077,8357,2026-09-25T03:33:06.902335+00:00,lab,conviction
46f2e941c2,2026-09-25T01:36:52.566083+00:00,BTC,1h,STOCH_REVERSAL_BEAR,SHORT,84363.46,85007.522,82708.96,2.57,swing_level_sweet,10,22,REJECT,,,50.56,536.7184,20.5,MIXED,1,0.61,0,CLOSED,LOSS,9,85007.522,22,,2026-09-25,,,,#BTC-0924-HA,2026-09-25T01:36:52.566083+00:00,BTC/USD,Asia,2.57,lab (not sent),LOSS,-1.0,-1.0,-644.062,0.999,1.21,34453,2026-09-25T11:11:06.537857+00:00,lab,conviction
3dd5874b48,2026-09-25T01:46:53.000908+00:00,GC,1h,VWAP_BOUNCE_BULL,LONG,4329.5,4295.8896,4396.8,2.0,swing_level_sweet,-9,56,MEDIUM,,,57.16,17.0521,21.45,MIXED,1,0.52,0,CLOSED,LOSS,3,4295.8896,56,,2026-09-25,,,,#GC-0924-HG,2026-09-25T01:46:53.000908+00:00,CON.F.US.GCE.Z26,Asia,2.0,lab (not sent),LOSS,-1.0,-1.0,-33.6104,0.03,1.032,11669,2026-09-25T05:01:22.095229+00:00,lab,conviction
aaf8579c64,2026-09-25T02:06:54.469557+00:00,BTC,1h,STOCH_REVERSAL_BEAR,SHORT,84506.3,85151.8312,82708.96,2.78,swing_level_sweet,10,22,REJECT,,,52.83,537.9426,20.5,MIXED,2,0.83,0,CLOSED,LOSS,9,85151.8312,22,,2026-09-25,,,,#BTC-0924-EB,2026-09-25T02:06:54.469557+00:00,BTC/USD,Asia,2.78,lab (not sent),LOSS,-1.0,-1.0,-645.5312,1.218,1.038,32833,2026-09-25T11:14:07.489555+00:00,lab,conviction
3849808788,2026-09-25T02:11:55.606594+00:00,BTC,1h,VWAP_BOUNCE_BULL,LONG,84843.23,84217.6688,86734.0,3.02,swing_level,10,19,REJECT,,,57.9,521.301,20.26,MIXED,2,0.55,0,CLOSED,LOSS,0,84217.6688,19,,2026-09-25,,,,#BTC-0924-XP,2026-09-25T02:11:55.606594+00:00,BTC/USD,Asia,3.02,lab (not sent),LOSS,-1.0,-1.0,-625.5612,0.062,1.104,2828,2026-09-25T02:59:04.028957+00:00,lab,conviction
a8b05f0b1a,2026-09-25T02:16:57.577205+00:00,GC,4h,VWAP_BOUNCE_BULL,LONG,4329.5,4284.7818,4432.3,2.3,swing_level_sweet,-9,56,MEDIUM,,,45.61,32.5912,25.39,MIXED,2,0.5,0,CLOSED,LOSS,4,4327.0,56,,2026-09-25,,,,#GC-0924-VM,2026-09-25T02:16:57.577205+00:00,CON.F.US.GCE.Z26,Asia,2.3,lab (not sent),LOSS,-0.056,-0.056,-2.5,0.494,0.901,63494,2026-09-25T19:55:12.459620+00:00,lab,conviction
fbb79768ae,2026-09-25T02:28:59.037049+00:00,NQ,15m,EMA21_PULLBACK_BULL,LONG,30802.25,30729.1837,30997.5,2.67,swing_level_sweet,-1,10,REJECT,,,64.32,42.085,23.26,MIXED,2,0.54,0,CLOSED,WIN,36,30997.5,10,,2026-09-25,,,,#NQ-0924-XB,2026-09-25T02:28:59.037049+00:00,CON.F.US.ENQ.Z26,Asia,2.67,lab (not sent),WIN,2.67,2.672,195.25,2.7,0.565,32841,2026-09-25T11:36:20.656817+00:00,lab,conviction
04cd3c8de0,2026-09-25T02:28:59.066391+00:00,NQ,1h,VWAP_BOUNCE_BULL,LONG,30802.25,30660.904,31094.75,2.07,swing_level_sweet,-1,55,MEDIUM,,intraday (1-4 hours) - flat by 4PM ET,58.36,95.4801,27.09,MIXED,2,0.06,0,CLOSED,WIN,17,30926.0,55,True,2026-09-25,0,0,,#NQ-0924-J4,2026-09-25T02:28:59.066391+00:00,CON.F.US.ENQ.Z26,Asia,2.07,control,WIN,0.876,0.876,123.75,1.396,0.837,62773,2026-09-25T19:55:12.575904+00:00,real,
3b6093afcd,2026-09-25T02:41:01.170817+00:00,GC,4h,EMA21_PULLBACK_BEAR,SHORT,4319.4,4345.3968,4293.0,1.02,swing_level,-10,6,REJECT,,,42.77,31.0959,25.45,MIXED,2,0.06,0,CLOSED,WIN,0,4293.0,6,,2026-09-25,,,,#GC-0924-KQ,2026-09-25T02:41:01.170817+00:00,CON.F.US.GCE.Z26,Asia,1.02,lab (not sent),WIN,1.02,1.016,26.4,1.092,0.085,9021,2026-09-25T05:11:23.140893+00:00,lab,rr_too_low
a36eebd486,2026-09-25T02:43:01.713622+00:00,BTC,1h,STOCH_REVERSAL_BEAR,SHORT,84452.97,85095.5567,82708.96,2.71,swing_level_sweet,10,22,REJECT,,,51.76,535.4889,20.32,MIXED,2,1.2,0,CLOSED,LOSS,8,85095.5567,22,,2026-09-25,,,,#BTC-0924-PA,2026-09-25T02:43:01.713622+00:00,BTC/USD,Asia,2.71,lab (not sent),LOSS,-1.0,-1.0,-642.5867,1.141,1.073,30484,2026-09-25T11:11:06.620602+00:00,lab,conviction
1dd8b0ea12,2026-09-25T03:13:05.398873+00:00,GC,4h,EMA21_PULLBACK_BEAR,SHORT,4319.4,4345.3968,4293.0,1.02,swing_level,-10,6,REJECT,,,42.77,31.0959,25.45,MIXED,3,0.06,0,CLOSED,WIN,0,4293.0,6,,2026-09-25,,,,#GC-0924-6U,2026-09-25T03:13:05.398873+00:00,CON.F.US.GCE.Z26,Asia,1.02,lab (not sent),WIN,1.02,1.016,26.4,1.092,0.019,7097,2026-09-25T05:11:23.209239+00:00,lab,rr_too_low
784ac237cc,2026-09-25T03:43:08.165280+00:00,GC,1h,VWAP_REJECT_BEAR,SHORT,4310.6,4333.8659,4278.3,1.39,swing_level,-10,14,REJECT,,,48.49,16.8293,21.0,MIXED,3,0.24,0,CLOSED,LOSS,6,4333.8659,14,,2026-09-25,,,,#GC-0924-G9,2026-09-25T03:43:08.165280+00:00,CON.F.US.GCE.Z26,Asia,1.39,lab (not sent),LOSS,-1.0,-1.0,-23.2659,0.873,1.027,23087,2026-09-25T10:07:56.047243+00:00,lab,rr_too_low
72039ef456,2026-09-25T03:43:08.172166+00:00,GC,1h,EMA21_PULLBACK_BEAR,SHORT,4310.6,4335.5488,4278.3,1.29,swing_level,-10,6,REJECT,,,48.49,16.8293,21.0,MIXED,3,0.24,0,CLOSED,LOSS,6,4335.5488,6,,2026-09-25,,,,#GC-0924-9G,2026-09-25T03:43:08.172166+00:00,CON.F.US.GCE.Z26,Asia,1.29,lab (not sent),LOSS,-1.0,-1.0,-24.9488,0.814,1.154,23388,2026-09-25T10:12:56.822281+00:00,lab,rr_too_low
