alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id,w7_setup_boost,w7_market_mult,w7_applied_layers
0538015404,2026-05-19T22:15:01.955962+00:00,BTC,15m,MACD_CROSS_BEAR,SHORT,76714.93,77014.7199,76074.71,2.14,swing_level_sweet,-5,76,MEDIUM,4,intraday (hours),45.72,151.8998,18.33,LH_LL,22,1.23,0,CLOSED,LOSS,0,77014.7199,17,,2026-05-20,0,-5,L2:BTC-BEAR-5
5e4dfaee93,2026-05-20T06:24:41.068799+00:00,GC,1h,BREAK_RETEST_BEAR,SHORT,4473.6,4475.2936,4467.1,3.84,swing_level,-10,89,HIGH,,swing (1-3 days),35.98,20.484,34.73,LH_LL,6,0.32,0,CLOSED,LOSS,0,4475.2936,65,,2026-05-20,3,0,L1:BREAK_RETEST_BEAR+3
1e98f560cc,2026-05-20T09:07:34.112487+00:00,BTC,15m,BREAK_RETEST_BULL,LONG,77327.32,77235.6709,77764.28,4.77,swing_level,6,81,HIGH,13,swing (1-3 days),61.89,140.8228,38.11,MIXED,9,0.3,0,CLOSED,LOSS,0,77235.6709,22,,2026-05-20,-2,0,L1:BREAK_RETEST_BULL-2
0de88d1822,2026-05-20T09:57:23.335774+00:00,GC,1h,EMA21_PULLBACK_BEAR,SHORT,4491.2,4500.391,4467.1,2.62,swing_level_sweet,-10,83,HIGH,,swing (1-3 days),45.2,19.9256,31.11,LH_LL,9,0.8,0,CLOSED,LOSS,0,4500.391,50,,2026-05-20,-5,0,L1:EMA21_PULLBACK_BEAR-5
dbb5a03d15,2026-05-20T12:52:06.366135+00:00,NQ,15m,EMA21_PULLBACK_BULL,LONG,29133.5,29081.9763,29249.25,2.25,swing_level_sweet,7,79,MEDIUM,,intraday (hours),59.82,40.1264,31.23,HH_HL,12,0.83,0,CLOSED,LOSS,0,29081.9763,44,,2026-05-20,-1,0,L1:EMA21_PULLBACK_BULL-1
557603e190,2026-05-20T13:47:19.626185+00:00,NQ,15m,EMA21_PULLBACK_BULL,LONG,29180.0,29008.3571,29565.5,2.25,swing_level_sweet,7,84,HIGH,,swing (1-3 days),63.47,49.6431,27.17,HH_HL,13,1.45,0,CLOSED,WIN,0,29369.5,40,,2026-05-20,-1,0,L1:EMA21_PULLBACK_BULL-1
a604332281,2026-05-20T13:47:20.499759+00:00,BTC,1h,STOCH_REVERSAL_BEAR,SHORT,77184.0,77811.4367,76061.12,1.79,swing_level,6,62,LOW,2,scalp (minutes-hours),53.16,351.0918,18.24,MIXED,13,2.48,0,OPEN,,,,0,,2026-05-20,-5,-5,"L1:STOCH_REVERSAL_BEAR-5,L2:BTC-BEAR-5"
f39d820fe3,2026-05-20T13:48:41.694843+00:00,GC,1h,EMA21_PULLBACK_BEAR,SHORT,4494.9,4513.7128,4455.0,2.12,swing_level_sweet,-10,95,HIGH,,swing (1-3 days),47.18,18.7093,24.98,LH_LL,13,1.82,0,CLOSED,LOSS,0,4513.7128,95,,2026-05-20,-5,0,L1:EMA21_PULLBACK_BEAR-5
4b32cab127,2026-05-20T14:24:58.221913+00:00,SOL,15m,RSI_DIV_BEAR,SHORT,84.89,85.3694,83.93,2.0,swing_level_sweet,-5,82,HIGH,3,swing (1-3 days),54.69,0.2985,20.63,MIXED,14,2.36,0,CLOSED,LOSS,0,85.3694,82,,2026-05-20,-5,-10,"L1:RSI_DIV_BEAR-5,L2:SOL-BEAR-10"
38186beac4,2026-05-20T16:22:51.940886+00:00,GC,1h,BB_REVERSION_BEAR,SHORT,4529.9,4565.1033,4455.0,2.13,swing_level_sweet,-10,84,HIGH,,swing (1-3 days),60.07,22.3444,25.02,LH_LL,16,0.34,0,CLOSED,LOSS,0,4550.3,84,,2026-05-20,3,0,L1:BB_REVERSION_BEAR+3
