alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id
8ab35a88c0,2026-04-27T20:11:06.596881+00:00,BTC,15m,EMA21_PULLBACK_BEAR,SHORT,76915.2,77000.4282,76555.0,4.23,swing_level,-2,71,MEDIUM,8,intraday (hours),46.38,218.1368,31.02,LH_LL,20,0.58,0,CLOSED,WIN,0,76555.0,71,,2026-04-28
0a8ef069ba,2026-04-27T20:13:34.868377+00:00,BTC,15m,EMA21_PULLBACK_BEAR,SHORT,76892.57,76998.3709,76555.0,3.19,swing_level,-2,71,MEDIUM,8,intraday (hours),45.59,218.1368,31.02,LH_LL,20,0.63,0,CLOSED,WIN,0,76555.0,71,,2026-04-28
b316726866,2026-04-27T21:18:29.275482+00:00,BTC,15m,EMA21_PULLBACK_BEAR,SHORT,76934.36,77010.0323,76555.0,5.01,swing_level,-2,64,LOW,3,scalp (minutes-hours),47.4,182.2409,25.47,LH_LL,21,0.29,0,CLOSED,LOSS,0,77010.0323,64,,2026-04-28
979bd40f2f,2026-04-27T21:29:21.652404+00:00,BTC,15m,EMA21_PULLBACK_BEAR,SHORT,76924.66,77010.7405,76555.0,4.29,swing_level,-2,69,MEDIUM,8,intraday (hours),47.0,184.6016,25.47,LH_LL,21,0.73,0,CLOSED,LOSS,0,77010.7405,69,,2026-04-28
4a270a58da,2026-04-27T23:47:53.350307+00:00,SOL,1h,BREAK_RETEST_BEAR,SHORT,84.67,84.931,83.85,3.14,swing_level,-6,79,MEDIUM,5,intraday (hours),40.2,0.5275,33.81,LH_LL,23,0.57,0,OPEN,,,,79,,2026-04-28
cc42bde93d,2026-04-28T00:02:16.446445+00:00,BTC,1h,BREAK_RETEST_BEAR,SHORT,77332.69,77632.3365,76447.51,2.95,swing_level,0,71,MEDIUM,4,intraday (hours),46.6,378.3414,23.37,LH_LL,0,0.02,0,OPEN,,,,71,,2026-04-28
