alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id,w7_setup_boost,w7_market_mult,w7_applied_layers
deddb2837b,2026-05-14T23:56:09.040403+00:00,SOL,1h,VWAP_BOUNCE_BULL,LONG,92.16,91.9641,92.84,3.47,swing_level,10,79,MEDIUM,5,intraday (hours),49.55,0.7719,26.44,HH_HL,23,1.37,0,CLOSED,LOSS,0,91.9641,79,,2026-05-15,-6,0,L1:VWAP_BOUNCE_BULL-6
3843eeadd7,2026-05-15T01:44:17.451859+00:00,SOL,15m,STOCH_REVERSAL_BULL,LONG,92.19,92.0279,92.94,4.63,swing_level,10,95,HIGH,9,swing (1-3 days),42.41,0.3302,23.97,HH_HL,1,1.2,0,CLOSED,LOSS,0,92.0279,95,,2026-05-15,-5,0,L1:STOCH_REVERSAL_BULL-5
9d77e9f293,2026-05-15T02:14:45.538997+00:00,SOL,15m,BB_REVERSION_BULL,LONG,91.88,91.5619,92.65,2.42,swing_level_sweet,10,100,HIGH,4,swing (1-3 days),38.49,0.3605,27.91,HH_HL,2,4.68,0,CLOSED,LOSS,0,91.5619,59,,2026-05-15,6,0,L1:BB_REVERSION_BULL+6
cb534b13dd,2026-05-15T02:25:48.272415+00:00,NQ,15m,BB_REVERSION_BULL,LONG,29539.0,29483.6475,29693.0,2.78,swing_level_sweet,10,79,MEDIUM,,intraday (hours),34.43,47.8418,24.64,HH_HL,2,0.97,0,CLOSED,LOSS,0,29483.6475,55,,2026-05-15,6,0,L1:BB_REVERSION_BULL+6
1c068d20e9,2026-05-15T02:46:21.747426+00:00,SOL,1h,VWAP_BOUNCE_BULL,LONG,92.17,91.5172,93.64,2.25,swing_level_sweet,10,94,HIGH,2,swing (1-3 days),49.89,0.7642,23.42,HH_HL,2,1.78,0,CLOSED,LOSS,0,91.5172,60,,2026-05-15,-6,0,L1:VWAP_BOUNCE_BULL-6
24e7cc717c,2026-05-15T05:29:23.165914+00:00,NQ,15m,BB_REVERSION_BULL,LONG,29435.75,29392.8582,29565.5,3.03,swing_level,10,87,HIGH,,swing (1-3 days),26.44,45.4727,36.46,HH_HL,5,0.83,0,CLOSED,LOSS,0,29392.8582,55,,2026-05-15,6,0,L1:BB_REVERSION_BULL+6
cbdd341246,2026-05-15T06:06:21.571557+00:00,NQ,15m,STOCH_REVERSAL_BULL,LONG,29314.75,29259.4683,29434.75,2.17,swing_level_sweet,8,77,MEDIUM,,intraday (hours),23.5,52.5792,43.92,HH_HL,6,1.32,0,CLOSED,WIN,0,29434.75,60,,2026-05-15,-5,0,L1:STOCH_REVERSAL_BULL-5
888007dd6d,2026-05-15T07:41:41.366282+00:00,NQ,15m,RSI_DIV_BULL,LONG,29392.25,29274.9598,29640.75,2.12,swing_level_sweet,8,82,HIGH,,swing (1-3 days),40.4,58.2255,43.57,HH_HL,7,1.09,0,CLOSED,LOSS,0,29274.9598,51,,2026-05-15,0,0,
56af08c4fa,2026-05-15T08:36:48.850557+00:00,NQ,15m,BB_REVERSION_BULL,LONG,29241.5,29199.0341,29356.25,2.7,swing_level_sweet,8,75,MEDIUM,,intraday (hours),31.05,63.2197,45.67,HH_HL,8,0.96,0,CLOSED,LOSS,0,29199.0341,51,,2026-05-15,6,0,L1:BB_REVERSION_BULL+6
52c99953f2,2026-05-15T09:58:45.098513+00:00,NQ,15m,RSI_DIV_BULL,LONG,29218.0,29150.7652,29356.25,2.06,swing_level_sweet,8,77,MEDIUM,,intraday (hours),33.56,65.5871,51.31,HH_HL,9,1.19,0,CLOSED,WIN,0,29356.25,51,,2026-05-15,0,0,
47125a400d,2026-05-15T10:53:40.789521+00:00,SOL,15m,VWAP_BOUNCE_BULL,LONG,91.55,90.9211,92.94,2.21,swing_level_sweet,10,71,MEDIUM,2,intraday (hours),53.94,0.3445,23.68,MIXED,10,0.81,0,CLOSED,LOSS,0,90.9211,42,,2026-05-15,-9,0,L1:VWAP_BOUNCE_BULL-9
41bdbdbf2a,2026-05-15T10:55:56.848815+00:00,NQ,15m,RSI_DIV_BULL,LONG,29347.25,29149.9223,29782.0,2.2,swing_level_sweet,8,93,HIGH,,swing (1-3 days),49.1,67.6942,48.32,HH_HL,10,1.46,0,CLOSED,LOSS,0,29149.9223,26,,2026-05-15,0,0,
78d267921c,2026-05-15T12:52:08.189245+00:00,NQ,15m,BB_REVERSION_BULL,LONG,29173.25,29123.913,29296.0,2.49,swing_level_sweet,8,75,MEDIUM,,intraday (hours),35.03,62.79,43.75,HH_HL,12,0.57,0,CLOSED,LOSS,0,29123.913,46,,2026-05-15,6,0,L1:BB_REVERSION_BULL+6
0420268860,2026-05-15T13:47:42.267475+00:00,BTC,15m,STOCH_REVERSAL_BULL,LONG,79189.48,78953.3836,79664.82,2.01,swing_level_sweet,6,83,HIGH,5,swing (1-3 days),21.76,246.6411,28.82,MIXED,13,1.51,0,CLOSED,LOSS,0,78953.3836,67,,2026-05-15,-4,0,L1:STOCH_REVERSAL_BULL-4
