alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id,w7_setup_boost,w7_market_mult,w7_applied_layers
eaa4893a1d,2026-05-13T13:12:06.200355+00:00,NQ,15m,VWAP_BOUNCE_BULL,LONG,29292.0,29215.2658,29447.0,2.02,swing_level_sweet,10,86,HIGH,,swing (1-3 days),42.3,43.671,31.88,MIXED,13,1.68,0,CLOSED,LOSS,0,29215.2658,86,,2026-05-13,-6,0,L1:VWAP_BOUNCE_BULL-6
172eb51fc3,2026-05-13T14:11:28.159086+00:00,BTC,15m,BB_REVERSION_BULL,LONG,79705.53,79450.3872,80775.2,4.19,swing_level,8,100,HIGH,5,swing (1-3 days),25.17,222.0428,47.94,HH_HL,14,4.79,0,CLOSED,LOSS,0,79450.3872,61,,2026-05-13,3,0,L1:BB_REVERSION_BULL+3
871c23e155,2026-05-13T14:13:55.855099+00:00,NQ,15m,BB_REVERSION_BULL,LONG,29174.75,29058.1085,29434.75,2.23,swing_level_sweet,8,85,HIGH,,swing (1-3 days),29.6,56.3051,35.11,MIXED,14,2.87,0,CLOSED,WIN,0,29434.75,52,,2026-05-13,3,0,L1:BB_REVERSION_BULL+3
36e14752ec,2026-05-13T14:17:37.738963+00:00,SOL,15m,BB_REVERSION_BULL,LONG,92.06,91.2378,94.97,3.54,swing_level,10,75,MEDIUM,2,intraday (hours),22.03,0.474,49.59,MIXED,14,0.33,0,CLOSED,LOSS,0,91.2378,49,,2026-05-13,3,0,L1:BB_REVERSION_BULL+3
5298ad0f8d,2026-05-13T15:14:06.988157+00:00,GC,1h,BB_REVERSION_BULL,LONG,4695.5,4674.604,4743.5,2.3,swing_level_sweet,4,69,MEDIUM,,intraday (hours),44.45,17.32,18.59,MIXED,15,0.34,0,CLOSED,LOSS,0,4693.3,21,,2026-05-13,3,0,L1:BB_REVERSION_BULL+3
a0f173ee94,2026-05-13T16:01:17.302906+00:00,BTC,1h,STOCH_REVERSAL_BULL,LONG,78972.99,78578.7362,80375.21,3.56,swing_level,8,74,MEDIUM,3,intraday (hours),28.03,425.0595,30.25,HH_HL,16,1.31,0,OPEN,,,,31,,2026-05-13,-5,0,L1:STOCH_REVERSAL_BULL-5
2f829c9ff0,2026-05-13T16:12:21.153801+00:00,SOL,1h,STOCH_REVERSAL_BULL,LONG,90.65,89.8722,92.84,2.82,swing_level_sweet,10,72,MEDIUM,2,intraday (hours),22.74,0.8696,25.71,MIXED,16,0.83,0,OPEN,,,,13,,2026-05-13,-5,0,L1:STOCH_REVERSAL_BULL-5
