alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id,w7_setup_boost,w7_market_mult,w7_applied_layers
0693b7e7fe,2026-07-02T14:21:42.157697+00:00,GC,1h,BREAK_RETEST_BULL,LONG,4136.5,4121.9743,4163.5,1.86,swing_level,6,60,HIGH,,swing (1-3 days),67.22,22.5642,30.56,HH_HL,14,0.93,0,CLOSED,LOSS,0,4121.9743,60,,2026-07-02,0,0,
f3e78747ae,2026-07-02T14:29:04.759674+00:00,NQ,15m,OPENING_RANGE_BREAKOUT,SHORT,29947.75,30284.996,29255.0,2.05,swing_level_sweet,-2,87,HIGH,,swing (1-3 days),42.31,109.9798,23.52,LH_LL,14,3.29,0,OPEN,,,,87,True,2026-07-02,0,0,
ccfa028ed3,2026-07-02T16:43:32.880379+00:00,GC,1h,BREAK_RETEST_BULL,LONG,4128.1,4121.7365,4138.5,1.63,swing_level,6,56,MEDIUM,,intraday (hours),63.51,23.1589,32.61,HH_HL,16,0.89,0,CLOSED,LOSS,0,4121.7365,56,,2026-07-02,0,0,
7d506e3e7e,2026-07-02T18:31:17.951893+00:00,GC,1h,BREAK_RETEST_BULL,LONG,4137.9,4122.037,4163.5,1.61,swing_level,2,53,MEDIUM,,intraday (hours),64.4,22.4074,33.52,MIXED,18,0.35,0,OPEN,,,,50,,2026-07-02,0,0,
