alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id,w7_setup_boost,w7_market_mult,w7_applied_layers
1e1fa67cc4,2026-06-19T06:16:50.409487+00:00,GC,1h,BB_REVERSION_BULL,LONG,4158.5,4132.5296,4245.5,3.35,swing_level,-10,88,HIGH,,swing (1-3 days),25.22,20.5679,45.21,MIXED,6,0.31,0,CLOSED,WIN,0,4172.9,88,,2026-06-19,0,0,
a7b7512a79,2026-06-19T07:13:27.810611+00:00,NQ,15m,VWAP_BOUNCE_BULL,LONG,30576.0,30496.6077,30736.75,2.02,swing_level_sweet,8,77,HIGH,,swing (1-3 days),56.08,43.2117,32.73,MIXED,7,0.83,0,CLOSED,WIN,0,30647.0,77,,2026-06-19,0,0,
e718226fb6,2026-06-19T14:08:09.199295+00:00,SOL,15m,BB_REVERSION_BEAR,SHORT,68.99,69.601,67.99,1.64,swing_level,-10,81,HIGH,2,swing (1-3 days),61.37,0.3366,28.33,LH_LL,14,0.31,0,OPEN,,,,81,,2026-06-19,0,0,
69670b3082,2026-06-19T16:25:57.914305+00:00,BTC,15m,STOCH_REVERSAL_BEAR,SHORT,63252.91,63491.1291,62671.8,2.44,swing_level_sweet,-10,74,HIGH,4,swing (1-3 days),62.74,198.5159,28.52,LH_LL,16,0.93,0,OPEN,,,,74,,2026-06-19,0,0,
