alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id,w7_setup_boost,w7_market_mult,w7_applied_layers
b4cf22682e,2026-08-25T10:11:39.739757+00:00,BTC,15m,STOCH_REVERSAL_BULL,LONG,79318.25,78708.6089,80891.43,2.58,swing_level_sweet,7,66,HIGH,2,scalp (1-6 hours),35.64,352.2279,27.67,HH_HL,10,0.51,0,CLOSED,LOSS,0,78708.6089,66,,2026-08-25,0,0,
4d62a255c0,2026-08-25T12:50:09.709518+00:00,BTC,15m,STOCH_REVERSAL_BULL,LONG,79028.27,78633.0867,79999.99,2.46,swing_level_sweet,7,65,HIGH,3,scalp (1-6 hours),36.31,309.3832,34.12,HH_HL,12,0.16,0,CLOSED,LOSS,0,78633.0867,65,,2026-08-25,0,0,
cce5215188,2026-08-25T14:04:43.630486+00:00,NQ,15m,OPENING_RANGE_BREAKOUT,SHORT,29254.5,29424.9114,28946.75,1.81,swing_level,-1,67,HIGH,,scalp (15-90 min) - flat by 4PM ET,40.62,50.8072,27.95,MIXED,14,1.74,0,CLOSED,LOSS,0,29285.75,67,,2026-08-25,0,0,
eb3b1f3fb4,2026-08-25T15:05:43.891755+00:00,BTC,15m,RSI_DIV_BULL,LONG,79207.92,78372.7359,80891.43,2.02,swing_level_sweet,7,73,HIGH,1,scalp (1-6 hours),48.78,346.2353,25.98,HH_HL,15,0.51,0,OPEN,,,,73,,2026-08-25,0,0,
2da4f83457,2026-08-25T15:31:53.847394+00:00,GC,1h,VWAP_BOUNCE_BULL,LONG,4699.4,4663.0654,4755.0,1.53,swing_level,8,59,MEDIUM,,intraday (1-4 hours) - flat by 4PM ET,52.17,21.1732,20.87,MIXED,15,0.74,0,CLOSED,WIN,0,4722.6,59,,2026-08-25,0,0,
