alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id
999c18261e,2026-04-29T00:28:17.294239+00:00,SOL,1h,EMA21_PULLBACK_BEAR,SHORT,83.89,84.3086,82.96,2.22,swing_level,-10,92,HIGH,3,swing (1-3 days),46.7,0.4288,26.15,LH_LL,0,0.87,0,CLOSED,LOSS,0,84.3086,92,,2026-04-29
01c6e8b0d8,2026-04-29T06:25:02.268172+00:00,BTC,15m,BREAK_RETEST_BULL,LONG,77136.91,77056.155,77447.18,3.84,swing_level,4,92,HIGH,14,swing (1-3 days),61.94,152.1876,39.81,MIXED,6,0.54,0,CLOSED,LOSS,0,77056.155,92,,2026-04-29
1994a21ce0,2026-04-29T06:34:01.788520+00:00,SOL,15m,RSI_DIV_BEAR,SHORT,84.75,85.0457,83.89,2.91,swing_level,-8,81,HIGH,4,swing (1-3 days),62.62,0.1892,42.77,LH_LL,6,0.03,0,CLOSED,LOSS,0,85.0457,81,,2026-04-29
798fc695a3,2026-04-29T06:43:44.170542+00:00,BTC,15m,BREAK_RETEST_BULL,LONG,77079.35,77056.4602,77155.99,3.35,swing_level,2,64,LOW,3,scalp (minutes-hours),59.15,151.4245,38.48,MIXED,6,0.61,0,CLOSED,LOSS,0,77056.4602,64,,2026-04-29
d2fb5b749d,2026-04-29T09:57:41.278241+00:00,SOL,15m,RSI_DIV_BEAR,SHORT,85.16,85.5884,84.35,1.89,swing_level,-8,100,HIGH,3,swing (1-3 days),68.75,0.221,26.94,LH_LL,9,4.85,0,CLOSED,LOSS,0,85.5884,100,,2026-04-29
