alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id
89d688503f,2026-04-13T21:13:41.307256+00:00,SOL,15m,APPROACH_RESIST,WATCH_SHORT,84.41,84.5992,83.91,2.64,swing_level,-9,70,MEDIUM,5,intraday (hours),62.38,0.3784,25.46,LH_LL,21,0.39,0,CLOSED,WIN,0,83.91,70,,2026-04-14
b7ae6e02a4,2026-04-13T22:13:44.065009+00:00,SOL,15m,APPROACH_RESIST,WATCH_SHORT,84.61,84.8002,83.91,3.68,swing_level,-9,92,HIGH,7,swing (1-3 days),65.35,0.3805,28.44,LH_LL,22,0.95,0,CLOSED,WIN,0,83.91,92,,2026-04-14
960ca28f31,2026-04-13T22:26:49.704900+00:00,BTC,15m,APPROACH_RESIST,WATCH_SHORT,74480.0,74639.5622,73236.98,7.79,swing_level,4,62,LOW,3,scalp (minutes-hours),78.3,319.1244,51.12,MIXED,22,1.52,0,CLOSED,WIN,0,73236.98,62,,2026-04-14
fe2759ac51,2026-04-13T23:13:55.332170+00:00,SOL,15m,APPROACH_RESIST,WATCH_SHORT,86.59,86.8369,85.14,5.87,swing_level,-9,100,HIGH,5,swing (1-3 days),79.78,0.4938,39.42,LH_LL,23,1.83,0,CLOSED,LOSS,0,86.8369,100,,2026-04-14
74e9629736,2026-04-14T00:06:21.186361+00:00,SOL,15m,VWAP_REJECT_BEAR,SHORT,86.45,86.8681,85.14,3.13,swing_level,-9,93,HIGH,3,swing (1-3 days),75.77,0.4905,46.79,LH_LL,0,0.35,0,CLOSED,LOSS,0,86.8681,93,,2026-04-14
fa69f670fc,2026-04-14T00:16:31.556598+00:00,SOL,15m,APPROACH_RESIST,WATCH_SHORT,86.83,87.0682,85.14,7.09,swing_level,-9,85,HIGH,5,swing (1-3 days),79.25,0.4764,48.02,LH_LL,0,0.34,0,CLOSED,LOSS,0,87.0682,85,,2026-04-14
e28d2501b5,2026-04-14T01:23:05.178506+00:00,SOL,1h,VWAP_REJECT_BEAR,SHORT,86.07,86.9597,83.83,2.52,swing_level,-9,95,HIGH,1,swing (1-3 days),68.98,0.8487,31.18,LH_LL,1,0.9,0,CLOSED,LOSS,0,86.9597,95,,2026-04-14
e87d4f376b,2026-04-14T03:29:47.682341+00:00,BTC,15m,EMA21_PULLBACK_BULL,LONG,74300.0,74127.8962,74936.9,3.7,swing_level,4,77,MEDIUM,6,intraday (hours),58.29,238.4382,49.06,MIXED,3,0.3,0,CLOSED,WIN,0,74936.9,77,,2026-04-14
5d58191310,2026-04-14T03:39:51.019407+00:00,NQ,15m,EMA21_PULLBACK_BULL,LONG,25577.5,25565.0427,25619.25,3.35,swing_level,9,91,HIGH,,swing (1-3 days),59.15,20.8178,45.47,HH_HL,3,0.48,0,CLOSED,LOSS,0,25565.0427,91,,2026-04-14
f0abe280cb,2026-04-14T03:39:51.632621+00:00,BTC,15m,VWAP_BOUNCE_BULL,LONG,74418.81,74227.0676,74936.9,2.7,swing_level,4,72,MEDIUM,6,intraday (hours),61.71,230.2619,47.93,MIXED,3,0.12,0,CLOSED,LOSS,0,74227.0676,72,,2026-04-14
71d4d0bb45,2026-04-14T03:59:57.853535+00:00,NQ,15m,VWAP_BOUNCE_BULL,LONG,25584.75,25571.4447,25619.25,2.59,swing_level,9,78,MEDIUM,,intraday (hours),61.74,19.0266,41.83,HH_HL,3,0.35,0,CLOSED,LOSS,0,25571.4447,78,,2026-04-14
e9c75a1b44,2026-04-14T04:50:13.800843+00:00,BTC,15m,EMA21_PULLBACK_BULL,LONG,74442.57,74261.0448,74936.9,2.72,swing_level,6,91,HIGH,6,swing (1-3 days),59.77,196.6633,43.11,HH_HL,4,0.08,0,CLOSED,LOSS,0,74261.0448,91,,2026-04-14
0275fc3d53,2026-04-14T15:11:14.804063+00:00,BTC,15m,BREAK_RETEST_BULL,LONG,74814.0,74831.2627,74936.9,7.12,swing_level,6,80,HIGH,15,swing (1-3 days),49.68,319.3433,32.13,HH_HL,15,0.67,0,CLOSED,LOSS,0,74831.2627,80,,2026-04-14
7d5e4ac0d3,2026-04-14T15:45:50.761968+00:00,BTC,15m,VWAP_BOUNCE_BULL,LONG,75302.88,74777.955,76127.18,1.57,swing_level,6,95,HIGH,2,swing (1-3 days),58.45,310.2749,28.52,HH_HL,15,0.02,0,CLOSED,LOSS,0,74777.955,95,,2026-04-14
73247202d1,2026-04-14T16:00:59.662728+00:00,BTC,15m,BREAK_RETEST_BULL,LONG,75418.19,75176.3843,76127.18,2.93,swing_level,6,75,MEDIUM,5,intraday (hours),60.54,309.0393,28.46,HH_HL,16,0.06,0,CLOSED,LOSS,0,75176.3843,75,,2026-04-14
fe8154a675,2026-04-14T16:46:24.756840+00:00,BTC,15m,EMA21_PULLBACK_BULL,LONG,75221.46,74993.7962,76127.18,3.98,swing_level,6,80,HIGH,5,swing (1-3 days),54.9,304.2845,27.58,HH_HL,16,0.06,0,CLOSED,LOSS,0,74993.7962,80,,2026-04-14
740b1a1989,2026-04-14T17:05:39.555260+00:00,BTC,15m,EMA50_RECLAIM,LONG,74783.59,74547.8638,76127.18,5.7,swing_level,6,80,HIGH,5,swing (1-3 days),46.54,336.1864,25.09,HH_HL,17,0.13,0,CLOSED,LOSS,0,74547.8638,80,,2026-04-14
b3c3cb287e,2026-04-14T17:50:41.525342+00:00,BTC,15m,EMA50_RECLAIM,LONG,74715.31,74546.2334,75745.59,6.09,swing_level,6,80,HIGH,7,swing (1-3 days),46.04,331.395,22.14,HH_HL,17,0.25,0,CLOSED,LOSS,0,74546.2334,80,,2026-04-14
5b563392e8,2026-04-14T18:37:35.745488+00:00,BTC,1h,EMA21_PULLBACK_BULL,LONG,74357.69,74121.2178,74936.9,2.45,swing_level,6,90,HIGH,5,swing (1-3 days),53.19,584.6741,48.77,HH_HL,18,1.33,0,CLOSED,LOSS,0,74121.2178,90,,2026-04-14
1d3b43ab2e,2026-04-14T18:57:56.440224+00:00,BTC,15m,APPROACH_SUPPORT,WATCH_LONG,73874.42,73700.6909,74546.13,3.87,swing_level,5,75,MEDIUM,6,intraday (hours),36.43,347.4582,21.78,HH_HL,18,0.86,0,CLOSED,LOSS,0,73700.6909,75,,2026-04-14
d6d9021630,2026-04-14T19:12:08.141699+00:00,NQ,15m,BREAK_RETEST_BULL,LONG,25926.0,25922.1901,25969.25,11.35,swing_level,9,78,MEDIUM,,intraday (hours),67.02,32.0248,51.2,HH_HL,19,0.17,0,CLOSED,LOSS,0,25922.1901,78,,2026-04-14
23ef337051,2026-04-14T19:56:23.080864+00:00,BTC,1h,EMA21_PULLBACK_BULL,LONG,74315.17,73690.9726,76127.18,2.9,swing_level,6,100,HIGH,2,swing (1-3 days),52.63,611.4914,46.02,HH_HL,19,2.41,1,CLOSED,LOSS,0,73690.9726,100,,2026-04-14
