alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id,w7_setup_boost,w7_market_mult,w7_applied_layers,call_id,fired_at,symbol,session,r_planned,channel,outcome,r_result,r_actual,points_result,mfe_r,mae_r,duration_sec,resolved_at,lane,lab_gate
9e894c3292,2026-09-23T12:13:33.724958+00:00,GC,1h,BB_REVERSION_BULL,LONG,4352.7,4326.6769,4409.6,2.19,swing_level_sweet,-8,72,HIGH,,intraday (1-4 hours) - flat by 4PM ET,39.75,14.0769,23.71,MIXED,12,0.37,0,CLOSED,LOSS,1,4326.6769,72,,2026-09-23,0,0,,#GC-0923-QW,2026-09-23T12:13:33.724958+00:00,CON.F.US.GCE.Z26,NY pre,2.19,control,LOSS,-1.0,-1.0,-26.0231,0.108,1.141,5410,2026-09-23T13:43:43.832752+00:00,real,
303fc16946,2026-09-23T13:26:33.038147+00:00,BTC,1h,STOCH_REVERSAL_BULL,LONG,85492.73,84926.482,87282.81,3.16,swing_level,10,51,REJECT,,,39.89,471.8733,23.86,HH_HL,13,0.39,1,CLOSED,LOSS,0,84926.482,51,,2026-09-23,,,,#BTC-0923-JT,2026-09-23T13:26:33.038147+00:00,BTC/USD,NY pre,3.16,lab (not sent),LOSS,-1.0,-1.0,-566.248,0.777,1.081,2740,2026-09-23T14:12:13.455968+00:00,lab,
a524438808,2026-09-23T13:37:40.068084+00:00,BTC,15m,MACD_CROSS_BULL,LONG,85734.39,85292.0811,87282.81,3.5,swing_level,10,32,REJECT,,,47.44,212.2296,47.29,HH_HL,13,0.99,1,CLOSED,LOSS,2,85292.0811,32,,2026-09-23,,,,#BTC-0923-YU,2026-09-23T13:37:40.068084+00:00,BTC/USD,NY open,3.5,lab (not sent),LOSS,-1.0,-1.0,-442.3089,0.448,1.727,2010,2026-09-23T14:11:10.832680+00:00,lab,
3a73de2ca5,2026-09-23T13:56:57.551081+00:00,BTC,1h,BB_REVERSION_BULL,LONG,85707.4,85066.6189,87397.0,2.64,swing_level_sweet,10,35,REJECT,,,44.42,498.4369,23.14,HH_HL,13,1.04,0,CLOSED,LOSS,0,85066.6189,35,,2026-09-23,,,,#BTC-0923-35,2026-09-23T13:56:57.551081+00:00,BTC/USD,NY open,2.64,lab (not sent),LOSS,-1.0,-1.0,-640.7811,0.351,1.15,853,2026-09-23T14:11:11.228310+00:00,lab,
132d984fb1,2026-09-23T14:37:28.884029+00:00,BTC,15m,STOCH_REVERSAL_BULL,LONG,84400.0,83761.7243,86354.94,3.06,swing_level,10,51,REJECT,,,30.9,380.2893,48.09,HH_HL,14,2.11,0,CLOSED,LOSS,5,83761.7243,51,,2026-09-23,,,,#BTC-0923-PV,2026-09-23T14:37:28.884029+00:00,BTC/USD,NY open,3.06,lab (not sent),LOSS,-1.0,-1.0,-638.2757,0.612,1.178,5065,2026-09-23T16:01:53.989184+00:00,lab,
046e0925e3,2026-09-23T14:52:33.246063+00:00,BTC,15m,BB_REVERSION_BULL,LONG,84337.9,83686.225,86354.94,3.1,swing_level,10,35,REJECT,,,29.62,376.7165,49.28,HH_HL,14,0.52,0,CLOSED,LOSS,4,83686.225,35,,2026-09-23,,,,#BTC-0923-62,2026-09-23T14:52:33.246063+00:00,BTC/USD,NY open,3.1,lab (not sent),LOSS,-1.0,-1.0,-651.675,0.694,1.059,4161,2026-09-23T16:01:54.426911+00:00,lab,
5d15f3c97f,2026-09-23T16:06:56.319784+00:00,BTC,15m,STOCH_REVERSAL_BULL,LONG,84246.32,83778.2989,85457.35,2.59,swing_level_sweet,10,51,REJECT,,,34.78,390.0176,50.69,HH_HL,16,1.45,0,CLOSED,LOSS,4,83778.2989,51,,2026-09-23,,,,#BTC-0923-KS,2026-09-23T16:06:56.319784+00:00,BTC/USD,NY mid,2.59,lab (not sent),LOSS,-1.0,-1.0,-468.0211,0.222,1.112,3856,2026-09-23T17:11:12.819179+00:00,lab,
8d58d9bc53,2026-09-23T16:41:06.642326+00:00,BTC,1h,STOCH_REVERSAL_BULL,LONG,84135.02,83359.5064,86384.73,2.9,swing_level_sweet,10,51,REJECT,,,29.87,646.2613,27.98,HH_HL,16,0.75,0,OPEN,,,,51,,2026-09-23,,,,#BTC-0923-S4,2026-09-23T16:41:06.642326+00:00,BTC/USD,NY mid,2.9,lab (not sent),,,,,,,,,lab,
afc60f7bc4,2026-09-23T16:46:07.832131+00:00,BTC,15m,RSI_DIV_BULL,LONG,84086.58,83366.8081,85932.51,2.56,swing_level_sweet,10,30,REJECT,,,33.65,365.4798,53.68,HH_HL,16,0.09,0,OPEN,,,,30,,2026-09-23,,,,#BTC-0923-F4,2026-09-23T16:46:07.832131+00:00,BTC/USD,NY mid,2.56,lab (not sent),,,,,,,,,lab,
6368e4e342,2026-09-23T17:21:22.624423+00:00,BTC,15m,STOCH_REVERSAL_BULL,LONG,84014.95,83539.0843,85257.0,2.61,swing_level_sweet,10,51,REJECT,,,35.72,381.8893,55.93,HH_HL,17,0.59,0,OPEN,,,,51,,2026-09-23,,,,#BTC-0923-W6,2026-09-23T17:21:22.624423+00:00,BTC/USD,NY mid,2.61,lab (not sent),,,,,,,,,lab,
9694fbdecc,2026-09-23T17:51:30.644435+00:00,BTC,1h,BB_REVERSION_BULL,LONG,84332.15,83319.1724,87282.81,2.91,swing_level_sweet,10,35,REJECT,,,33.49,646.0919,29.66,HH_HL,17,1.15,0,OPEN,,,,35,,2026-09-23,,,,#BTC-0923-G4,2026-09-23T17:51:30.644435+00:00,BTC/USD,NY mid,2.91,lab (not sent),,,,,,,,,lab,
b46c813cf4,2026-09-23T18:56:28.802787+00:00,BTC,1h,BB_REVERSION_BULL,LONG,84405.79,83504.5168,86734.0,2.58,swing_level_sweet,10,35,REJECT,,,34.81,624.4107,30.94,HH_HL,18,1.25,0,OPEN,,,,35,,2026-09-23,,,,#BTC-0923-MX,2026-09-23T18:56:28.802787+00:00,BTC/USD,NY close,2.58,lab (not sent),,,,,,,,,lab,
