alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id
96242c9052,2026-04-13T02:13:18.679853+00:00,BTC,15m,VWAP_REJECT_BEAR,SHORT,71011.68,71283.9554,70330.9916,2.5,atr_2.5R,-2,75,MEDIUM,4,intraday (hours),48.41,209.7768,21.41,LH_LL,2,0.31,0,CLOSED,LOSS,0,71283.9554,75,,2026-04-13
245cf0792d,2026-04-13T02:13:19.902175+00:00,SOL,15m,EMA50_BREAKDOWN,SHORT,82.06,82.2846,81.33,3.25,swing_level,-10,80,HIGH,5,swing (1-3 days),50.5,0.3324,22.41,MIXED,2,0.28,0,CLOSED,LOSS,0,82.29,80,,2026-04-13
b8bf06ca30,2026-04-13T02:13:20.014360+00:00,SOL,1h,VWAP_REJECT_BEAR,SHORT,82.06,82.4706,81.0335,2.5,atr_2.5R,-10,72,MEDIUM,3,intraday (hours),44.24,0.6029,22.47,MIXED,2,0.14,0,CLOSED,LOSS,0,82.4706,72,,2026-04-13
4187647a37,2026-04-13T02:43:50.855900+00:00,SOL,1h,VWAP_REJECT_BEAR,SHORT,81.98,82.4723,80.7493,2.5,atr_2.5R,-10,80,HIGH,2,swing (1-3 days),43.45,0.6115,22.47,MIXED,2,0.68,0,CLOSED,LOSS,0,82.4723,80,,2026-04-13
eaa3fa3fb5,2026-04-13T03:14:20.084056+00:00,BTC,1h,VWAP_REJECT_BEAR,SHORT,71051.13,71357.225,70285.8926,2.5,atr_2.5R,-2,75,MEDIUM,3,intraday (hours),40.93,346.1248,37.27,LH_LL,3,0.18,0,CLOSED,LOSS,0,71357.225,75,,2026-04-13
fc337a89dc,2026-04-13T03:39:46.956900+00:00,SOL,1h,VWAP_REJECT_BEAR,SHORT,81.87,82.5788,80.098,2.5,atr_2.5R,-10,80,HIGH,2,swing (1-3 days),42.35,0.594,22.04,MIXED,3,0.42,0,CLOSED,LOSS,0,82.5788,80,,2026-04-13
412fc1d96c,2026-04-13T03:44:51.037251+00:00,BTC,1h,VWAP_REJECT_BEAR,SHORT,70998.23,71358.348,70097.9351,2.5,atr_2.5R,-2,70,MEDIUM,3,intraday (hours),40.0,351.7398,37.44,LH_LL,3,0.57,0,CLOSED,LOSS,0,71358.348,70,,2026-04-13
dbb9093c61,2026-04-13T04:00:04.858096+00:00,NQ,15m,VWAP_BOUNCE_BULL,LONG,25060.5,24979.5734,25262.8164,2.5,atr_2.5R,7,100,HIGH,,swing (1-3 days),43.72,44.6329,35.9,HH_HL,4,0.0,0,CLOSED,WIN,0,25262.8164,100,,2026-04-13
db61b8deae,2026-04-13T04:15:20.567217+00:00,BTC,1h,VWAP_REJECT_BEAR,SHORT,70990.04,71232.4831,70383.9322,2.5,atr_2.5R,-2,62,LOW,3,scalp (minutes-hours),39.85,333.6655,36.58,LH_LL,4,0.15,0,CLOSED,LOSS,0,71232.4831,62,,2026-04-13
afec866c8a,2026-04-13T04:30:34.406185+00:00,NQ,1h,VWAP_BOUNCE_BULL,LONG,25071.5,24933.4304,25416.674,2.5,atr_2.5R,7,93,HIGH,,swing (1-3 days),40.79,82.848,25.74,HH_HL,4,0.07,0,CLOSED,WIN,0,25416.674,93,,2026-04-13
