alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id,w7_setup_boost,w7_market_mult,w7_applied_layers,call_id,fired_at,symbol,session,r_planned,channel,outcome,r_result,r_actual,points_result,mfe_r,mae_r,duration_sec,resolved_at,lane
26504b361d,2026-09-22T03:15:21.226001+00:00,BTC,1h,EMA21_PULLBACK_BULL,LONG,85568.01,84844.0631,87397.0,2.53,swing_level_sweet,10,26,REJECT,,,60.29,603.2891,54.33,HH_HL,3,0.1,0,OPEN,,,,26,,2026-09-22,,,,#BTC-0921-E7,2026-09-22T03:15:21.226001+00:00,BTC/USD,Asia,2.53,lab (not sent),,,,,,,,,lab
681cbdb499,2026-09-22T03:45:25.452444+00:00,BTC,1h,EMA21_PULLBACK_BULL,LONG,85526.56,84788.1736,87397.0,2.53,swing_level_sweet,10,26,REJECT,,,59.69,615.322,54.08,HH_HL,3,0.26,0,OPEN,,,,26,,2026-09-22,,,,#BTC-0921-KR,2026-09-22T03:45:25.452444+00:00,BTC/USD,Asia,2.53,lab (not sent),,,,,,,,,lab
f591916d13,2026-09-22T04:15:37.391148+00:00,BTC,1h,EMA21_PULLBACK_BULL,LONG,85605.46,84908.5398,87397.0,2.57,swing_level_sweet,10,26,REJECT,,,60.78,580.7668,52.35,HH_HL,4,0.09,0,OPEN,,,,26,,2026-09-22,,,,#BTC-0922-6U,2026-09-22T04:15:37.391148+00:00,BTC/USD,Asia,2.57,lab (not sent),,,,,,,,,lab
6cb05759f6,2026-09-22T04:55:43.281436+00:00,BTC,1h,EMA21_PULLBACK_BULL,LONG,85521.27,84809.5247,87397.0,2.64,swing_level_sweet,10,26,REJECT,,,59.45,593.1211,52.35,HH_HL,4,0.3,0,OPEN,,,,26,,2026-09-22,,,,#BTC-0922-MK,2026-09-22T04:55:43.281436+00:00,BTC/USD,Asia,2.64,lab (not sent),,,,,,,,,lab
908239b017,2026-09-22T05:47:54.301237+00:00,BTC,15m,BB_REVERSION_BULL,LONG,85533.27,84984.9352,87397.0,3.4,swing_level,10,35,REJECT,,,44.37,247.8159,36.12,HH_HL,5,0.06,0,OPEN,,,,35,,2026-09-22,,,,#BTC-0922-YT,2026-09-22T05:47:54.301237+00:00,BTC/USD,Asia,3.4,lab (not sent),,,,,,,,,lab
746a801663,2026-09-22T09:52:52.340699+00:00,BTC,15m,EMA21_PULLBACK_BULL,LONG,86113.44,85636.7767,87397.0,2.69,swing_level_sweet,10,26,REJECT,,,61.27,271.4016,26.38,HH_HL,9,0.14,0,CLOSED,LOSS,15,85636.7767,26,,2026-09-22,,,,#BTC-0922-64,2026-09-22T09:52:52.340699+00:00,BTC/USD,London,2.69,lab (not sent),LOSS,-1.0,-1.0,-476.6633,0.289,1.161,13528,2026-09-22T13:38:20.518251+00:00,lab
d05654a98e,2026-09-22T13:35:15.823990+00:00,BTC,15m,VWAP_BOUNCE_BULL,LONG,86121.54,85620.8504,87397.0,2.55,swing_level_sweet,10,19,REJECT,,,56.1,275.7979,15.71,MIXED,13,0.81,1,CLOSED,LOSS,4,85620.8504,19,,2026-09-22,,,,#BTC-0922-R5,2026-09-22T13:35:15.823990+00:00,BTC/USD,NY open,2.55,lab (not sent),LOSS,-1.0,-1.0,-500.6896,0.687,1.341,3657,2026-09-22T14:36:12.838170+00:00,lab
096220d5d5,2026-09-22T14:46:17.374057+00:00,BTC,15m,VWAP_BOUNCE_BULL,LONG,85881.88,85387.4804,87397.0,3.06,swing_level,10,19,REJECT,,,48.88,312.5981,14.38,MIXED,14,0.09,0,OPEN,,,,19,,2026-09-22,,,,#BTC-0922-FX,2026-09-22T14:46:17.374057+00:00,BTC/USD,NY open,3.06,lab (not sent),,,,,,,,,lab
