alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id,w7_setup_boost,w7_market_mult,w7_applied_layers
0de2b3cad3,2026-07-25T09:44:02.154645+00:00,BTC,15m,EMA21_PULLBACK_BEAR,SHORT,63872.08,63954.0133,63641.0,2.82,swing_level_sweet,-10,48,LOW,3,scalp (1-6 hours),40.12,66.148,31.12,LH_LL,9,0.32,0,CLOSED,LOSS,0,63954.0133,48,,2026-07-27,0,0,
683a77849b,2026-07-27T00:14:38.527738+00:00,NQ,15m,BREAK_RETEST_BULL,LONG,28657.0,28600.267,28782.0,2.2,swing_level_sweet,-1,64,HIGH,,scalp (15-90 min) - flat by 4PM ET,62.65,76.2075,33.21,MIXED,0,0.67,0,CLOSED,LOSS,0,28600.267,64,,2026-07-27,0,0,
6c47237601,2026-07-27T08:55:45.790108+00:00,NQ,15m,BREAK_RETEST_BULL,LONG,28743.75,28718.2551,28782.0,1.5,swing_level,-4,64,HIGH,,scalp (15-90 min) - flat by 4PM ET,64.1,38.7372,29.35,MIXED,8,0.6,0,CLOSED,LOSS,0,28718.2551,64,,2026-07-27,0,0,
864325e027,2026-07-27T09:38:01.541326+00:00,NQ,15m,BREAK_RETEST_BULL,LONG,28740.75,28719.656,28782.0,1.96,swing_level,-4,63,HIGH,,scalp (15-90 min) - flat by 4PM ET,63.02,35.2351,29.31,MIXED,9,0.48,0,CLOSED,LOSS,0,28719.656,63,,2026-07-27,0,0,
ea97fad44f,2026-07-27T19:05:39.645027+00:00,GC,4h,MACD_CROSS_BEAR,SHORT,4076.4,4104.5233,4032.5,1.56,swing_level,0,82,HIGH,,intraday (hours) - flat by 4PM ET,50.24,29.411,15.54,MIXED,19,0.88,0,CLOSED,LOSS,0,4089.5,82,,2026-07-27,0,0,
