alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id,w7_setup_boost,w7_market_mult,w7_applied_layers
adece9c058,2026-05-22T11:57:44.424123+00:00,GC,4h,EMA21_PULLBACK_BEAR,SHORT,4521.9,4544.8783,4455.0,2.91,swing_level_sweet,-10,83,HIGH,,swing (1-3 days),45.32,37.5879,28.04,LH_LL,11,0.81,0,CLOSED,WIN,0,4509.5,55,,2026-05-22,-5,0,L1:EMA21_PULLBACK_BEAR-5
a191b5e45a,2026-05-22T13:56:00.688113+00:00,SOL,15m,VWAP_BOUNCE_BULL,LONG,87.21,86.9524,87.84,2.45,swing_level_sweet,9,77,MEDIUM,5,intraday (hours),51.17,0.288,16.37,HH_HL,13,1.32,0,CLOSED,LOSS,0,86.9524,73,,2026-05-22,-20,0,L1:VWAP_BOUNCE_BULL-20
55dd8a5115,2026-05-22T15:31:42.178931+00:00,BTC,1h,STOCH_REVERSAL_BULL,LONG,76910.5,76511.1382,77764.28,2.14,swing_level_sweet,4,74,MEDIUM,3,intraday (hours),41.07,329.1296,17.54,MIXED,15,1.12,0,CLOSED,LOSS,0,76511.1382,28,,2026-05-22,12,0,L1:STOCH_REVERSAL_BULL+12
29c595ab07,2026-05-22T18:16:11.919434+00:00,NQ,1h,BREAK_RETEST_BULL,LONG,29662.25,29627.0727,29782.0,3.4,swing_level,8,74,MEDIUM,,intraday (hours),62.44,95.4431,23.96,HH_HL,18,0.43,0,CLOSED,LOSS,0,29627.0727,66,,2026-05-22,-2,0,L1:BREAK_RETEST_BULL-2
