alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id,w7_setup_boost,w7_market_mult,w7_applied_layers,call_id,fired_at,symbol,session,r_planned,channel,outcome,r_result,r_actual,points_result,mfe_r,mae_r,duration_sec,resolved_at,lane
4493bd83b7,2026-09-20T09:42:28.223820+00:00,BTC,1h,EMA50_RECLAIM,LONG,80541.44,80111.3151,81720.0,2.74,swing_level_sweet,10,16,REJECT,,,45.94,325.147,35.62,MIXED,9,0.49,0,CLOSED,WIN,14,81720.0,16,,2026-09-21,,,,#BTC-0920-7U,2026-09-20T09:42:28.223820+00:00,BTC/USD,London,2.74,lab (not sent),WIN,2.74,2.74,1178.56,2.971,0.697,53092,2026-09-21T00:27:21.149324+00:00,lab
a4b0934cce,2026-09-20T09:42:28.227649+00:00,BTC,1h,VWAP_BOUNCE_BULL,LONG,80541.44,80054.1706,81925.0,2.84,swing_level_sweet,10,19,REJECT,,,45.94,325.147,35.62,MIXED,9,0.49,0,CLOSED,WIN,15,81925.0,19,,2026-09-21,,,,#BTC-0920-E2,2026-09-20T09:42:28.227649+00:00,BTC/USD,London,2.84,lab (not sent),WIN,2.84,2.839,1383.56,3.172,0.615,56584,2026-09-21T01:25:32.793961+00:00,lab
8ca615a648,2026-09-20T09:42:28.230807+00:00,BTC,1h,STOCH_REVERSAL_BULL,LONG,80541.44,79989.1412,81925.0,2.51,swing_level_sweet,10,51,REJECT,,,45.94,325.147,35.62,MIXED,9,0.49,0,CLOSED,WIN,15,81925.0,51,,2026-09-21,,,,#BTC-0920-5J,2026-09-20T09:42:28.230807+00:00,BTC/USD,London,2.51,lab (not sent),WIN,2.51,2.505,1383.56,2.799,0.542,56584,2026-09-21T01:25:33.139214+00:00,lab
ac64f02b1e,2026-09-20T14:56:07.814992+00:00,BTC,1h,VWAP_BOUNCE_BULL,LONG,80734.38,80327.1714,81925.0,2.92,swing_level_sweet,10,19,REJECT,,,52.52,304.1428,31.25,MIXED,14,1.59,0,CLOSED,WIN,10,81925.0,19,,2026-09-21,,,,#BTC-0920-QN,2026-09-20T14:56:07.814992+00:00,BTC/USD,NY open,2.92,lab (not sent),WIN,2.92,2.924,1190.62,3.322,0.402,37765,2026-09-21T01:25:33.535275+00:00,lab
8e7bcac74e,2026-09-20T14:56:07.818881+00:00,BTC,1h,EMA21_PULLBACK_BULL,LONG,80734.38,80296.7571,81925.0,2.72,swing_level_sweet,10,26,REJECT,,,52.52,304.1428,31.25,MIXED,14,1.59,0,CLOSED,WIN,10,81925.0,26,,2026-09-21,,,,#BTC-0920-DZ,2026-09-20T14:56:07.818881+00:00,BTC/USD,NY open,2.72,lab (not sent),WIN,2.72,2.721,1190.62,3.091,0.374,37766,2026-09-21T01:25:33.888897+00:00,lab
b2554e4c97,2026-09-20T22:00:22.150591+00:00,GC,4h,VWAP_BOUNCE_BULL,LONG,4415.9,4372.8553,4509.1,2.17,swing_level_sweet,5,56,MEDIUM,,,55.48,40.7235,18.87,MIXED,22,0.36,0,CLOSED,LOSS,4,4372.8553,56,,2026-09-21,,,,#GC-0920-DN,2026-09-20T22:00:22.150591+00:00,CON.F.US.GCE.Z26,Asia,2.17,lab (not sent),LOSS,-1.0,-1.0,-43.0447,0.144,1.282,57937,2026-09-21T14:05:59.489219+00:00,lab
1ed6adbda7,2026-09-20T23:41:09.244945+00:00,GC,4h,VWAP_REJECT_BEAR,SHORT,4412.9,4440.6186,4355.6,2.07,swing_level_sweet,6,14,REJECT,,,54.91,38.5932,17.71,MIXED,23,0.13,0,CLOSED,WIN,5,4383.8,14,,2026-09-21,,,,#GC-0920-CX,2026-09-20T23:41:09.244945+00:00,CON.F.US.GCE.Z26,Asia,2.07,lab (not sent),WIN,1.05,1.05,29.1,1.898,0.332,72835,2026-09-21T19:55:04.708092+00:00,lab
6a0b5c3609,2026-09-20T23:41:09.248599+00:00,GC,4h,STOCH_REVERSAL_BEAR,SHORT,4412.9,4448.3373,4329.2,2.36,swing_level_sweet,6,68,HIGH,,,54.91,38.5932,17.71,MIXED,23,0.13,0,CLOSED,WIN,5,4383.8,68,,2026-09-21,,,,#GC-0920-3T,2026-09-20T23:41:09.248599+00:00,CON.F.US.GCE.Z26,Asia,2.36,lab (not sent),WIN,0.821,0.821,29.1,1.484,0.26,72835,2026-09-21T19:55:05.079042+00:00,lab
ed4fa5f131,2026-09-21T00:11:17.535861+00:00,GC,4h,VWAP_REJECT_BEAR,SHORT,4412.9,4440.6186,4355.6,2.07,swing_level_sweet,6,14,REJECT,,,54.91,38.5932,17.71,MIXED,0,0.13,0,CLOSED,WIN,4,4383.8,14,,2026-09-21,,,,#GC-0920-P3,2026-09-21T00:11:17.535861+00:00,CON.F.US.GCE.Z26,Asia,2.07,lab (not sent),WIN,1.05,1.05,29.1,1.898,0.332,71027,2026-09-21T19:55:05.442032+00:00,lab
d088869e3b,2026-09-21T00:11:17.539709+00:00,GC,4h,STOCH_REVERSAL_BEAR,SHORT,4412.9,4448.3373,4329.2,2.36,swing_level_sweet,6,68,HIGH,,,54.91,38.5932,17.71,MIXED,0,0.13,0,CLOSED,WIN,4,4383.8,68,,2026-09-21,,,,#GC-0920-KN,2026-09-21T00:11:17.539709+00:00,CON.F.US.GCE.Z26,Asia,2.36,lab (not sent),WIN,0.821,0.821,29.1,1.484,0.26,71028,2026-09-21T19:55:05.851008+00:00,lab
