timestamp,market,tf,setup_type,direction,price,entry,stop,target,rr,conviction,tier,trend,adx,rsi,vol_ratio,htf_bias,news_flag,decision,reject_reason,result,result_checked_at,score_breakdown,confidence_factors,detection_reason,atr,vwap,ema20,ema50,ema200,ema21,bb_upper,bb_middle,bb_lower,bb_width_pct,stoch_k,stoch_d,macd_line,macd_signal,macd_hist,close_price,regime,session_name,swing_high_30,swing_low_30,volume_raw,volume_20ma
2026-07-15T13:57:01.797342+00:00,GC,1h,BB_REVERSION_BEAR,SHORT,4067.0,4067.0,4083.1591,0.0,0.0,0,DETECT,-10,20.7,59.0,2.32,LH_LL,0,DETECTED,,NO_LEVELS,2026-07-15T13:57:01.797342+00:00,,"{""bb_position"": ""near_upper"", ""stoch_signal"": ""neutral"", ""macd_signal"": ""bullish"", ""trend_strength"": ""bear"", ""adx_regime"": ""weak_trend"", ""rsi_zone"": ""neutral_upper""}","Tagged upper Bollinger (4077.1633) and reversed. RSI 59.0 overbought. Mean reversion to middle band. [Context: price in upper 20% of Bollinger range | MACD bullish (line>signal, hist positive) | volume 2.3x avg | ADX 20.7 | RSI 59.0]",16.5303,4048.9174,4048.8584,4053.065,4086.2552,4048.8138,4077.1633,4049.785,4022.4067,1.3521,76.1324,72.1247,1.0494,-1.2006,2.25,4067.0,RANGING,London/NY Overlap,4112.5,4020.1,7979.0,3442.7
2026-07-15T13:57:01.799418+00:00,GC,1h,BB_REVERSION_BEAR,SHORT,4067.0,4067.0,4083.1591,0.0,0.0,0,REJECT,-10,20.7,59.0,2.32,LH_LL,0,REJECTED_SUSPENDED,Suspended due to 4W/8L (33.3% WR) — shadow-logged to track would-have-fired rate,NO_LEVELS,2026-07-15T13:57:01.799418+00:00,,,"Tagged upper Bollinger (4077.1633) and reversed. RSI 59.0 overbought. Mean reversion to middle band. [Context: price in upper 20% of Bollinger range | MACD bullish (line>signal, hist positive) | volume 2.3x avg | ADX 20.7 | RSI 59.0]",16.5303,4048.9174,4048.8584,4053.065,4086.2552,4048.8138,4077.1633,4049.785,4022.4067,1.3521,76.1324,72.1247,1.0494,-1.2006,2.25,4067.0,RANGING,London/NY Overlap,4112.5,4020.1,7979.0,3442.7
2026-07-15T13:57:01.933650+00:00,BTC,1h,VWAP_BOUNCE_BULL,LONG,64938.0,64938.0,64463.5156,0.0,0.0,0,DETECT,-5,34.2,61.8,1.92,HH_HL,0,DETECTED,,NO_LEVELS,2026-07-15T13:57:01.933650+00:00,,"{""bb_position"": ""near_upper"", ""stoch_signal"": ""neutral"", ""macd_signal"": ""bearish"", ""trend_strength"": ""bear"", ""adx_regime"": ""trending"", ""rsi_zone"": ""neutral_upper""}","VWAP bounce at 64833.1675. Institutional support level. [Context: price in upper 20% of Bollinger range | MACD bearish (line<signal, hist negative) | volume 1.9x avg | ADX 34.2 | RSI 61.8]",372.4219,64833.1675,64561.4366,64033.9575,63438.5582,64537.5123,65058.2188,64707.256,64356.2932,1.0848,46.1796,53.6747,314.2068,356.8498,-42.643,64938.0,VOLATILE_EXPANSION,US Session,65528.76,62400.35,559.4478,291.1061
2026-07-15T13:57:01.935687+00:00,BTC,1h,EMA21_PULLBACK_BULL,LONG,64938.0,64938.0,64425.7857,0.0,0.0,0,DETECT,-5,34.2,61.8,1.92,HH_HL,0,DETECTED,,NO_LEVELS,2026-07-15T13:57:01.935687+00:00,,"{""bb_position"": ""near_upper"", ""stoch_signal"": ""neutral"", ""macd_signal"": ""bearish"", ""trend_strength"": ""bear"", ""adx_regime"": ""trending"", ""rsi_zone"": ""neutral_upper""}","Pulled back to EMA21 (64537.5123) in bullish stack and bounced. RSI 61.8, ADX 34.2. Trend continuation. [Context: price in upper 20% of Bollinger range | MACD bearish (line<signal, hist negative) | volume 1.9x avg | ADX 34.2 | RSI 61.8]",372.4219,64833.1675,64561.4366,64033.9575,63438.5582,64537.5123,65058.2188,64707.256,64356.2932,1.0848,46.1796,53.6747,314.2068,356.8498,-42.643,64938.0,VOLATILE_EXPANSION,US Session,65528.76,62400.35,559.4478,291.1061
2026-07-15T13:57:01.937279+00:00,BTC,1h,BREAK_RETEST_BULL,LONG,64938.0,64938.0,64906.0712,0.0,0.0,0,DETECT,-5,34.2,61.8,1.92,HH_HL,0,DETECTED,,NO_LEVELS,2026-07-15T13:57:01.937279+00:00,,"{""bb_position"": ""near_upper"", ""stoch_signal"": ""neutral"", ""macd_signal"": ""bearish"", ""trend_strength"": ""bear"", ""adx_regime"": ""trending"", ""rsi_zone"": ""neutral_upper""}","Broke above 65055.04, pulled back to retest as support. Holding. Classic break-retest entry. [Context: price in upper 20% of Bollinger range | MACD bearish (line<signal, hist negative) | volume 1.9x avg | ADX 34.2 | RSI 61.8]",372.4219,64833.1675,64561.4366,64033.9575,63438.5582,64537.5123,65058.2188,64707.256,64356.2932,1.0848,46.1796,53.6747,314.2068,356.8498,-42.643,64938.0,VOLATILE_EXPANSION,US Session,65528.76,62400.35,559.4478,291.1061
2026-07-15T13:57:01.939360+00:00,BTC,1h,VWAP_BOUNCE_BULL,LONG,64938.0,64938.0,64463.5156,0.0,0.0,0,REJECT,-5,34.2,61.8,1.92,HH_HL,0,REJECTED_SUSPENDED,Suspended due to 4W/92L (4.2% WR) — shadow-logged to track would-have-fired rate,NO_LEVELS,2026-07-15T13:57:01.939360+00:00,,,"VWAP bounce at 64833.1675. Institutional support level. [Context: price in upper 20% of Bollinger range | MACD bearish (line<signal, hist negative) | volume 1.9x avg | ADX 34.2 | RSI 61.8]",372.4219,64833.1675,64561.4366,64033.9575,63438.5582,64537.5123,65058.2188,64707.256,64356.2932,1.0848,46.1796,53.6747,314.2068,356.8498,-42.643,64938.0,VOLATILE_EXPANSION,US Session,65528.76,62400.35,559.4478,291.1061
2026-07-15T13:57:01.941242+00:00,BTC,1h,EMA21_PULLBACK_BULL,LONG,64938.0,64938.0,64425.7857,0.0,0.0,0,REJECT,-5,34.2,61.8,1.92,HH_HL,0,REJECTED_SUSPENDED,Suspended due to 0W/35L (0.0% WR) — shadow-logged to track would-have-fired rate,NO_LEVELS,2026-07-15T13:57:01.941242+00:00,,,"Pulled back to EMA21 (64537.5123) in bullish stack and bounced. RSI 61.8, ADX 34.2. Trend continuation. [Context: price in upper 20% of Bollinger range | MACD bearish (line<signal, hist negative) | volume 1.9x avg | ADX 34.2 | RSI 61.8]",372.4219,64833.1675,64561.4366,64033.9575,63438.5582,64537.5123,65058.2188,64707.256,64356.2932,1.0848,46.1796,53.6747,314.2068,356.8498,-42.643,64938.0,VOLATILE_EXPANSION,US Session,65528.76,62400.35,559.4478,291.1061
2026-07-15T13:57:01.943632+00:00,BTC,1h,BREAK_RETEST_BULL,LONG,64938.0,64938.0,64906.0712,0.0,0.0,0,REJECT,-5,34.2,61.8,1.92,HH_HL,0,REJECTED_SUSPENDED,Suspended due to 1W/10L (9.1% WR) — shadow-logged to track would-have-fired rate,NO_LEVELS,2026-07-15T13:57:01.943632+00:00,,,"Broke above 65055.04, pulled back to retest as support. Holding. Classic break-retest entry. [Context: price in upper 20% of Bollinger range | MACD bearish (line<signal, hist negative) | volume 1.9x avg | ADX 34.2 | RSI 61.8]",372.4219,64833.1675,64561.4366,64033.9575,63438.5582,64537.5123,65058.2188,64707.256,64356.2932,1.0848,46.1796,53.6747,314.2068,356.8498,-42.643,64938.0,VOLATILE_EXPANSION,US Session,65528.76,62400.35,559.4478,291.1061
2026-07-15T13:57:02.071822+00:00,SOL,1h,VWAP_BOUNCE_BULL,LONG,77.93,77.93,77.0551,0.0,0.0,0,DETECT,6,30.8,59.5,2.34,HH_HL,0,DETECTED,,NO_LEVELS,2026-07-15T13:57:02.071822+00:00,,"{""bb_position"": ""intermediate"", ""stoch_signal"": ""neutral"", ""macd_signal"": ""bearish"", ""trend_strength"": ""strong_bull"", ""adx_regime"": ""trending"", ""rsi_zone"": ""neutral_upper""}","VWAP bounce at 77.8138. Institutional support level. [Context: MACD bearish (line<signal, hist negative) | volume 2.3x avg | ADX 30.8 | RSI 59.5]",0.6245,77.8138,77.4341,76.9274,77.6857,77.4072,78.2449,77.563,76.8811,1.7582,47.7157,49.8446,0.3607,0.397,-0.0364,77.93,VOLATILE_EXPANSION,US Session,78.96,74.76,68043.8056,29048.9246
2026-07-15T13:57:02.073734+00:00,SOL,1h,BREAK_RETEST_BULL,LONG,77.93,77.93,77.6502,0.0,0.0,0,DETECT,6,30.8,59.5,2.34,HH_HL,0,DETECTED,,NO_LEVELS,2026-07-15T13:57:02.073734+00:00,,"{""bb_position"": ""intermediate"", ""stoch_signal"": ""neutral"", ""macd_signal"": ""bearish"", ""trend_strength"": ""strong_bull"", ""adx_regime"": ""trending"", ""rsi_zone"": ""neutral_upper""}","Broke above 77.9, pulled back to retest as support. Holding. Classic break-retest entry. [Context: MACD bearish (line<signal, hist negative) | volume 2.3x avg | ADX 30.8 | RSI 59.5]",0.6245,77.8138,77.4341,76.9274,77.6857,77.4072,78.2449,77.563,76.8811,1.7582,47.7157,49.8446,0.3607,0.397,-0.0364,77.93,VOLATILE_EXPANSION,US Session,78.96,74.76,68043.8056,29048.9246
